Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lesotho,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.61177,7.27746,6.54459,6.04551,6.05739,5.44927,6.11966,7.22255,7.66656,8.95305,7.64089,9.07559,10.0439,10.99592,9.9993,9.29656,9.24261,10.5748,11.115,11.94662,10.27927,10.2137,
Lesotho,Current Health Expenditure (CHE) per Capita in US$,23.7739,28.24092,23.18137,31.89408,40.89278,41.15413,48.881,64.80231,68.0821,79.6859,87.45577,117.34724,124.85531,130.44208,120.47214,104.40471,90.88587,115.20779,130.57114,130.44073,96.72643,114.70882,
Liberia,Current Health Expenditure (CHE) per Capita in US$,8.58203,6.90986,7.02601,6.16012,18.20792,20.64466,19.47802,16.01202,26.55882,52.30115,50.63947,54.34541,50.35653,48.74786,59.98974,70.18364,68.4993,72.50897,69.10814,52.02645,101.29131,112.27045,
Liberia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.87913,2.27907,2.28036,2.66177,6.33816,7.14322,6.06892,4.32794,5.99616,11.57164,10.35445,9.71053,8.15445,7.09008,8.77403,10.46928,9.90063,10.47271,10.35223,8.421,16.96833,16.61633,
Libya,Current Health Expenditure (CHE) per Capita in US$,254.31531,261.96295,185.19685,192.35475,202.57089,210.62668,231.38443,269.94934,312.46573,342.55402,380.92902,312.84854,,,,,,,,,,,
Libya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.31909,3.92572,4.73818,3.97301,3.38328,2.51707,2.29996,2.4193,2.24442,3.58288,3.28064,4.01902,,,,,,,,,,,
Lithuania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.1995,6.0134,6.14446,6.18628,5.5115,5.648,5.84418,5.76432,6.29454,7.36587,6.81462,6.48782,6.27593,6.12594,6.19333,6.49044,6.63746,6.47514,6.53039,6.99057,7.48098,7.82269,7.4618
Lithuania,Current Health Expenditure (CHE) per Capita in US$,217.17613,218.81802,254.36688,338.86307,366.95969,438.93268,536.05737,704.29315,936.50934,864.73639,805.22449,925.47162,896.93707,958.92719,1021.23297,920.19977,988.52795,1083.30334,1249.03101,1369.97949,1520.39221,1858.58704,1867.84119
Luxembourg,Current Health Expenditure (CHE) per Capita in US$,2901.19995,3109.20142,3600.86743,4607.40283,5610.35352,5818.146,6070.73584,6671.26514,7578.74951,7670.59375,7459.83545,7174.73926,6029.47461,6356.64453,6547.03467,5421.93213,5475.13965,5713.11865,6227.08398,6221.73877,6785.8623,7635.70215,6955.50635
Luxembourg,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.92534,6.38194,6.761,6.96221,7.27934,7.12328,6.63642,6.15803,6.23101,6.94993,6.66263,5.95225,5.29404,5.23557,5.23041,5.08114,5.07104,5.13535,5.27989,5.47003,5.74203,5.66813,5.45618
Madagascar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.99178,4.11514,4.92548,5.00277,5.2509,5.21558,5.07204,4.60866,4.08112,4.3847,4.69763,4.5216,3.91106,3.75156,4.4624,5.00625,5.33249,4.80226,4.22847,3.10129,3.72316,3.50452,
Madagascar,Current Health Expenditure (CHE) per Capita in US$,11.39518,13.39314,15.31477,17.98666,14.57166,16.26181,16.76424,19.71751,21.33733,19.96824,21.57974,23.37224,19.71854,19.75904,23.0767,22.81041,24.77561,24.17928,21.67276,15.8873,17.21605,17.64009,
Malawi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.35248,2.0604,2.69726,3.3202,4.072,4.30047,4.91223,5.44258,6.10669,5.87334,5.14305,5.32227,6.022,8.22379,6.89776,6.62879,7.72704,7.58439,6.87367,7.1501,7.00888,7.41194,
Malawi,Current Health Expenditure (CHE) per Capita in US$,8.91786,7.48628,11.26511,12.41096,16.05879,17.35437,21.07894,25.17164,32.93961,35.80582,34.24128,39.60097,32.8057,39.87807,35.64557,35.27588,34.32817,37.9345,36.97562,41.78249,42.54142,46.55551,
Malaysia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.51463,2.6754,2.66877,2.92417,2.86017,2.78693,3.10898,3.07041,3.00693,3.26106,3.16474,3.31452,3.45786,3.51277,3.71037,3.82201,3.70085,3.71472,3.75944,3.83991,4.08395,4.38381,
Malaysia,Current Health Expenditure (CHE) per Capita in US$,111.94894,114.83912,121.41258,141.86821,153.39851,161.62958,199.85577,229.75821,262.78,244.83893,285.0264,343.19876,371.7933,382.19186,415.65353,370.71954,353.64029,370.71844,416.32001,427.46286,414.9635,487.00882,
Maldives,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.73656,8.21365,8.7844,6.77858,7.48357,8.82753,8.04819,8.30568,11.47104,10.09288,8.48759,7.92252,8.67305,8.15509,7.91345,8.72546,10.30545,9.26918,7.43628,7.66068,11.34723,10.03154,
Maldives,Current Health Expenditure (CHE) per Capita in US$,219.47887,229.35576,248.91136,239.94585,303.86536,334.49484,403.23682,477.29181,773.50537,678.17914,607.55408,587.00348,645.91077,670.55121,702.0946,823.19147,993.47205,932.7641,804.87317,851.5094,825.56903,1038.66772,
Mali,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.46632,4.51951,4.99774,5.0506,5.21768,5.19517,5.45589,5.25303,5.02687,5.21224,4.67865,4.01484,3.75216,3.96751,4.48158,4.11143,3.77378,3.67426,3.7325,3.82944,3.47598,4.47341,
Mali,Current Health Expenditure (CHE) per Capita in US$,14.40365,13.53196,16.34093,19.29069,22.31691,24.62482,27.65657,30.42856,34.10326,35.57579,32.20446,32.52752,28.26849,30.89883,36.6797,29.74655,28.30531,29.23489,31.96352,32.17401,28.85295,40.12025,
Malta,Current Health Expenditure (CHE) per Capita in US$,647.1015,685.98401,830.6463,1074.09314,1223.85742,1379.6864,1474.4845,1596.12317,1751.16504,1677.3623,1733.66882,1960.06116,1898.60144,2121.08228,2456.43481,2243.46704,2321.15332,2551.71606,2753.51099,2943.63135,3135.40527,3641.61938,
Malta,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.57309,6.99986,7.70662,7.89556,8.04821,8.66397,8.80992,8.16883,7.86336,7.92383,7.95211,8.44814,8.37803,8.49666,9.08505,8.8976,8.96601,8.73093,8.55118,9.14845,10.74076,10.58441,
Marshall Islands,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),17.4809,14.81643,12.84072,12.76534,15.6194,20.21598,20.33398,16.2694,15.20471,14.5397,13.93148,13.08627,13.03814,13.46884,13.20781,15.33984,15.73866,14.38503,15.26284,14.82552,12.58778,12.54864,
Marshall Islands,Current Health Expenditure (CHE) per Capita in US$,370.73709,332.20078,311.02744,306.87592,381.62234,509.71066,532.66162,445.58429,429.44373,406.94772,417.30136,424.91507,452.06714,485.22168,476.77374,571.25275,654.56995,646.29205,736.77417,782.23566,707.4798,766.94409,
Mauritania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.37825,3.57184,4.00225,4.03255,3.70429,3.40313,2.70253,2.87644,3.01339,3.11034,2.63619,2.47384,2.64919,2.868,3.46724,3.67364,3.09631,3.31551,3.17839,3.30149,3.38773,4.12219,
Mauritania,Current Health Expenditure (CHE) per Capita in US$,22.30674,22.58143,25.20565,28.68665,30.64062,33.17791,34.37842,39.64344,48.52268,44.13393,43.39499,47.48409,49.02024,55.34607,59.37289,57.40905,48.89684,54.1965,55.62038,60.746,63.29885,89.28845,
Mauritius,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.85735,2.92152,3.18897,3.18202,3.31653,3.51794,3.60574,3.52322,3.93897,4.17036,4.51898,4.2506,4.21993,4.62082,5.38025,5.55042,5.5429,5.61409,5.63983,6.02486,6.4821,6.39259,
Mauritius,Current Health Expenditure (CHE) per Capita in US$,115.96475,116.41131,132.39851,157.65352,184.65752,192.01137,203.08328,229.03911,312.62827,301.46152,357.0011,385.77191,387.23038,440.10236,544.39526,515.37244,539.51227,594.62732,641.56152,670.974,569.43402,564.90076,
Mexico,Current Health Expenditure (CHE) per Capita in US$,321.80124,366.98071,388.02792,414.04001,448.06021,485.67389,516.06396,560.49426,576.71539,496.81424,539.2655,570.73047,587.82843,631.2135,615.10315,558.1651,492.87399,514.88971,530.64783,552.70422,538.51752,610.64532,
Mexico,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.44912,4.82036,5.07164,5.81486,5.9539,5.83612,5.65526,5.76644,5.69887,6.12978,5.73689,5.51884,5.66522,5.80924,5.55341,5.72277,5.55346,5.45759,5.38346,5.44796,6.22204,6.07869,
Micronesia (Federated States of),Current Health Expenditure (CHE) per Capita in US$,161.96359,181.96553,170.64896,209.74185,259.0257,399.60941,246.37552,259.47079,290.11981,325.83734,361.80365,377.49036,370.92639,353.22513,343.00763,359.78537,396.62982,405.31104,422.44638,420.5795,398.5737,393.3493,
Micronesia (Federated States of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.76511,8.4526,7.8972,9.5715,12.02716,17.73307,10.74129,11.0585,11.99138,12.55259,13.10625,13.09527,12.2771,12.10208,11.7229,12.46286,13.13245,12.19583,11.6571,11.26046,10.84532,10.96059,
Monaco,Current Health Expenditure (CHE) per Capita in US$,2967.42627,3048.08984,3363.35449,4830.65576,5683.69922,5888.7876,6149.09717,7028.4375,8300.90625,8147.86816,8013.0459,8302.91699,7871.2124,8460.78711,8682.36914,7347.91699,7189.65771,7219.5918,7848.35645,7730.60352,7812.2876,8634.25977,
Monaco,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.69518,3.75391,3.8086,4.43206,4.52467,4.5032,4.29525,3.81156,4.08358,4.84196,4.95792,4.63501,4.75585,4.57342,4.44085,4.31545,4.12037,4.15852,4.03953,3.87725,4.27983,3.68486,
Mongolia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.69538,5.05436,5.18856,4.10219,4.15719,3.75526,3.74972,4.07523,4.55693,4.4598,3.73946,3.58612,3.858,4.08932,4.2099,4.23155,4.58009,4.33954,4.53449,4.49498,4.66625,6.9113,
Mongolia,Current Health Expenditure (CHE) per Capita in US$,26.41834,25.91972,29.04701,26.00562,32.62977,37.0275,49.59526,66.23542,97.28815,76.66016,99.48032,136.04825,169.84096,180.842,177.31834,165.84915,169.03986,160.92108,188.86266,197.55196,188.57124,315.5798,
Montenegro,Current Health Expenditure (CHE) per Capita in US$,,,,,,,,,,,,572.46991,535.57599,596.47601,578.72546,576.84137,596.27563,611.53442,727.25812,732.34955,866.16833,985.09119,
Montenegro,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,,,,,,,,7.96692,8.2955,8.47145,8.00087,9.02189,8.63303,7.98255,8.34356,8.32983,11.42178,10.55254,
Morocco,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.69305,3.81601,4.06118,4.08038,4.23211,4.37351,4.56587,4.80759,4.83789,5.27312,5.41861,5.37019,5.39619,5.25541,5.41627,5.10436,5.09203,4.9892,4.94517,4.9913,5.83835,5.73835,
Morocco,Current Health Expenditure (CHE) per Capita in US$,54.38905,56.32827,63.35458,77.51077,90.92943,96.96191,110.0026,131.66959,153.10005,165.44444,168.37711,179.04854,172.05939,179.73485,188.40021,162.50981,161.82784,166.46623,175.27603,177.24557,193.10236,221.11485,
Mozambique,Current Health Expenditure (CHE) per Capita in US$,6.96425,8.52991,9.95218,11.15465,14.22917,18.4923,18.09506,19.30347,24.26328,27.63412,26.17584,30.28254,35.03116,41.17827,43.08489,39.91207,31.38209,36.26471,40.81172,40.41285,34.37061,44.52216,
Mozambique,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.18767,2.87893,3.27735,3.39534,3.67226,4.37539,4.08874,3.93067,4.22139,5.2039,5.43893,5.00312,5.24641,6.12585,6.33252,6.71663,7.28134,7.83763,8.08896,7.95273,7.56958,9.05218,
Myanmar,Current Health Expenditure (CHE) per Capita in US$,4.44784,4.6025,7.04405,6.53878,6.97521,7.60667,8.42073,9.84823,14.60595,18.56753,20.08253,27.199,36.97322,37.39878,53.86578,63.13535,59.22293,59.07003,60.37779,61.57228,72.03526,65.23148,
Myanmar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.9955,2.14882,2.57854,2.38127,2.31822,2.33032,2.25169,2.02357,2.10873,2.1595,1.95586,1.92667,2.41021,3.20072,4.39346,5.47781,5.1135,5.08066,4.89992,4.71062,4.61919,5.63135,
Namibia,Current Health Expenditure (CHE) per Capita in US$,200.05258,185.71793,173.69115,257.41162,347.89636,375.3916,410.32162,465.08157,413.3743,386.20197,522.15912,569.14294,557.5896,495.19513,466.19879,495.62979,430.21606,475.58203,472.99014,432.14578,378.42468,456.436,
Namibia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9.24,9.64409,9.68075,9.91341,10.12623,10.08442,10.57087,10.71633,9.91801,9.04967,9.72781,9.83193,9.26659,9.06449,8.40891,9.9811,9.32232,8.72574,8.31649,8.43034,8.90163,9.38092,
Nauru,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),18.96671,16.2233,13.80812,9.97444,6.8789,10.82082,12.41761,24.23068,23.0041,12.31576,12.6964,9.96044,8.84149,9.8501,8.38676,14.00562,10.9906,11.48864,11.1024,11.55542,12.68184,13.06414,
Nauru,Current Health Expenditure (CHE) per Capita in US$,454.4361,341.18649,291.11621,266.06006,210.49307,320.36789,354.24863,572.72601,791.19971,563.16577,614.13409,659.4339,859.04865,818.1156,746.35699,959.48846,957.28595,1092.87634,1175.68677,1158.77087,1318.16504,1529.51917,
Nepal,Current Health Expenditure (CHE) per Capita in US$,8.33808,10.2647,10.46288,11.0714,12.93099,14.16004,13.70444,17.18702,18.93988,20.979,29.81904,34.39584,33.90107,35.4108,42.29529,46.85505,47.28274,49.32767,50.39901,52.83313,58.31042,65.30171,
Nepal,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.13334,3.81281,3.93916,3.85659,4.04684,3.95149,3.5445,3.67347,3.81808,3.90232,4.3619,4.4528,4.49079,4.63013,5.07549,5.46616,5.42379,4.72174,4.52845,4.44525,5.2081,5.41698,
Netherlands (Kingdom of the),Current Health Expenditure (CHE) per Capita in US$,2028.1814,2175.73047,2544.81348,3244.35645,3689.46436,3823.48096,4080.21973,4696.1416,5382.4458,5282.74316,5191.69385,5562.12109,5284.6499,5532.72607,5601.88574,4676.56201,4644.02101,4934.5752,5330.66016,5340.61279,5858.4248,6539.19873,
Netherlands (Kingdom of the),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.70696,8.05946,8.64913,9.05657,9.11076,9.09667,9.08055,9.05293,9.2766,9.99293,10.15509,10.23358,10.53899,10.58364,10.56704,10.32394,10.0568,10.1083,10.01994,10.1404,11.20924,11.29426,
New Zealand,Current Health Expenditure (CHE) per Capita in US$,1054.91211,1054.328,1250.92896,1611.79041,1983.18701,2296.60767,2305.14648,2706.79956,2851.11914,2713.81421,3233.77856,3656.73071,3856.1731,4014.97461,4192.74365,3600.9563,3739.40137,3903.68042,3957.86084,4085.78809,4223.22168,4906.0708,
New Zealand,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.47002,7.57894,7.90046,7.72169,7.90091,8.27335,8.63842,8.32904,9.12383,9.62076,9.59278,9.51987,9.65164,9.36019,9.40168,9.28344,9.24379,8.96695,9.03512,9.4931,10.07205,10.04858,
Nicaragua,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.23884,5.4846,5.73316,6.08318,6.0574,6.22469,6.35756,6.95643,7.16701,7.68584,7.71019,7.44982,7.48837,7.63869,7.97716,7.96303,8.04878,8.32754,8.49935,8.56946,8.6522,9.68343,
Nicaragua,Current Health Expenditure (CHE) per Capita in US$,52.24893,56.52496,56.94697,60.82196,65.14766,72.13689,77.7614,92.09193,107.06826,110.52922,115.32395,122.53476,130.77901,137.09842,152.6447,161.27701,167.37036,177.15001,168.44513,161.98634,161.19981,198.07793,
Niger,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.65892,4.72659,4.82717,4.74741,4.97818,5.8775,5.99336,5.43106,5.24641,5.3385,4.961,4.87324,4.30733,4.46636,4.45377,5.34746,4.53239,5.5761,5.30311,5.66642,6.17012,5.81453,
Niger,Current Health Expenditure (CHE) per Capita in US$,8.95672,9.59174,10.75085,12.4494,13.95743,18.53795,19.78736,20.83684,24.7114,24.40502,23.33816,24.68768,22.56605,24.4375,24.89272,25.72569,22.42887,28.69141,30.08619,31.21994,34.85019,34.34205,
Nigeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.19738,3.18947,2.49064,5.05361,4.63368,4.46592,4.25775,3.90997,3.69582,3.5802,3.29653,3.32078,3.35984,3.42069,3.3484,3.58195,3.64774,3.74763,3.09069,2.98547,3.38063,4.07626,
Nigeria,Current Health Expenditure (CHE) per Capita in US$,17.65199,18.48872,18.06385,39.07724,44.16435,53.92662,65.72379,69.15039,80.09986,68.00686,75.58925,83.10648,91.06048,100.81701,106.11964,96.28329,78.23602,72.77431,65.70272,69.68148,69.76185,83.84061,
Niue,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.92566,38.13646,11.11293,9.52666,17.34155,12.30243,50.18312,23.60816,23.25727,28.82341,15.54111,19.82967,10.30762,9.70858,10.83492,8.74964,7.75023,8.51143,7.99598,7.27533,8.97386,13.75609,
Niue,Current Health Expenditure (CHE) per Capita in US$,291.52847,1331.90674,424.90494,511.33771,1080.50232,907.3186,3647.83447,2044.29114,2044.7312,2249.52881,1516.16882,2297.55054,1292.47852,1348.94727,1603.52136,1120.29407,1032.92957,1222.97913,1324.64844,1156.83362,1319.09521,1911.7666,
North Macedonia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.86992,8.38159,8.97827,9.00858,8.46505,7.67908,7.38315,6.57065,6.55318,6.52846,6.7137,6.51887,6.61468,6.71928,6.28993,6.34228,6.37943,6.43909,6.45699,7.06654,7.73212,8.52403,
North Macedonia,Current Health Expenditure (CHE) per Capita in US$,164.22212,151.37755,173.69583,215.35849,231.86971,231.04449,243.55238,263.06226,311.29724,293.71997,301.86673,326.078,307.04477,345.85379,339.38419,302.74606,322.92041,344.92331,387.46518,421.38974,452.9664,560.30957,
Norway,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.70271,8.00972,8.98267,9.19355,8.79598,8.299,7.8823,8.01674,7.91508,9.03254,8.85812,8.73474,8.72189,8.87431,9.28298,10.06992,10.5305,10.22984,9.96038,10.43808,11.42416,10.07598,8.14124
Norway,Current Health Expenditure (CHE) per Capita in US$,2948.93164,3099.00342,3889.95947,4632.56836,5097.34424,5584.68896,5892.9873,6895.56006,7768.05029,7301.95996,7859.51611,8900.37207,8970.11914,9241.26563,9118.31641,7565.5498,7496.76953,7815.78711,8271.85938,8007.35508,7824.5771,9163.13867,8692.57583
Oman,Current Health Expenditure (CHE) per Capita in US$,254.94284,252.54681,266.526,282.28857,298.48163,319.71045,335.85211,391.79608,462.29166,507.65176,558.36658,540.38507,562.94659,590.36438,725.409,765.78534,713.32019,703.93799,639.32489,728.25482,855.29675,852.62341,
Oman,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.68485,2.70074,2.77737,2.77524,2.5966,2.26479,2.01985,2.11371,1.75568,2.46946,2.47589,2.23611,2.27703,2.5054,3.1374,4.07826,4.17581,3.95419,3.21469,3.80649,5.25332,4.37028,
Pakistan,Current Health Expenditure (CHE) per Capita in US$,15.19758,13.20522,14.74765,14.11536,15.29146,19.38237,24.65778,26.5111,24.80975,23.66425,24.20984,25.673,26.28878,28.99808,33.04524,35.0122,37.599,43.4128,41.40914,37.22461,38.17708,43.09069,
Pakistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.71177,2.54957,2.66229,2.30006,2.22177,2.55109,2.86177,2.81689,2.71267,2.47459,2.39687,2.14017,2.20039,2.40178,2.45604,2.45764,2.57026,2.7863,2.82845,2.84737,2.95273,2.91132,
Palau,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.69526,7.79659,8.01948,8.96286,9.91891,9.29252,9.56446,9.80653,9.4013,10.30606,11.61803,10.86478,11.49705,11.97791,12.12317,11.33741,11.62825,12.52633,12.85857,13.40278,14.34041,16.3842,
Palau,Current Health Expenditure (CHE) per Capita in US$,656.81146,625.20605,658.49371,698.83246,827.09479,871.56885,931.1684,992.50226,979.43048,1007.31189,1153.06067,1161.5304,1377.39136,1520.32056,1675.82617,1809.50012,1977.63831,2036.63086,2072.97583,2102.07471,2058.66162,2045.29749,
Panama,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.23963,7.1701,7.31349,6.95631,7.34004,6.43273,6.78427,7.62018,7.0523,7.24006,7.48659,7.08093,6.74133,6.75967,7.1673,7.18963,7.35214,7.42582,7.8782,8.46796,10.80493,9.6818,
Panama,Current Health Expenditure (CHE) per Capita in US$,301.52563,297.57672,309.41254,304.23956,345.24091,323.75082,371.33951,472.89539,507.56384,551.58728,608.2467,665.8465,725.86377,806.58551,920.0766,982.79395,1057.40662,1127.68896,1228.07336,1340.13782,1358.0907,1415.245,
Papua New Guinea,Current Health Expenditure (CHE) per Capita in US$,18.93961,18.29378,20.66277,22.10498,25.87848,27.65415,30.21554,33.38859,34.91187,36.7798,39.60604,52.849,70.75684,77.28434,89.70458,45.50783,54.36591,55.63466,59.4532,60.31322,56.30739,61.41453,
Papua New Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.01842,2.30064,2.77563,2.45315,2.59373,2.44874,2.426,2.42102,2.13526,2.32938,2.10756,2.29398,2.66694,2.99728,3.27119,1.81882,2.33063,2.22971,2.30052,2.32534,2.30194,2.32032,
Paraguay,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.01865,5.60816,4.75771,4.90704,4.93224,4.82935,5.01928,5.02043,5.03776,5.52497,5.46594,5.82226,6.53145,6.06428,6.62719,6.69166,6.67557,6.60903,6.74498,7.16082,7.67533,8.03277,
Paraguay,Current Health Expenditure (CHE) per Capita in US$,104.02274,91.42379,64.76425,70.50262,87.64267,94.68042,121.79751,160.3656,219.66795,216.58902,257.05856,336.11874,367.1485,390.28687,439.3447,392.22418,384.44702,405.53366,421.08627,415.88879,410.88715,478.70828,
Peru,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.41483,4.72161,4.93902,4.58696,4.42971,4.66595,4.40956,4.42612,4.53321,4.96516,4.71504,4.53501,4.73489,4.74876,4.96445,4.96122,4.95967,4.88083,5.15967,5.17916,6.28521,6.15173,
Peru,Current Health Expenditure (CHE) per Capita in US$,83.46236,89.1998,97.49508,97.19953,105.00826,123.05089,135.87088,158.16544,190.84877,208.39194,240.25761,262.96741,307.31854,320.3165,331.78091,310.26645,311.43518,333.11575,363.42484,366.56491,388.4873,412.20856,
Philippines,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.05512,2.84776,2.63767,3.07663,3.04685,3.74253,3.77763,3.75318,3.86316,4.16452,4.13108,4.02519,4.17709,4.27409,3.70314,3.89827,3.95484,3.96043,3.95382,4.16646,5.16214,5.87126,5.09625
Philippines,Current Health Expenditure (CHE) per Capita in US$,32.78954,28.22548,27.35728,32.28581,34.21176,46.60521,54.85954,65.36551,76.89061,78.84607,90.95713,97.86031,111.60261,121.70754,108.72145,115.94628,120.15416,121.87956,126.31158,142.23665,166.44925,203.17681,178.28265
Poland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.2879,5.66721,6.06724,5.95371,5.86845,5.80689,5.80281,5.87339,6.37592,6.58771,6.46801,6.28672,6.26524,6.48017,6.4268,6.40416,6.5921,6.58343,6.31291,6.46008,6.49678,6.43858,6.67763
Poland,Current Health Expenditure (CHE) per Capita in US$,238.00449,282.82101,315.83145,339.33521,392.00339,465.7002,524.09747,660.92468,892.59698,759.60577,809.1994,866.09467,815.14185,878.08838,911.29816,803.95966,816.08616,909.57819,978.73566,1014.03821,1025.98486,1159.32849,1224.63354
Portugal,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.60104,8.62751,8.78643,9.12416,9.53251,9.65307,9.35423,9.25187,9.58308,10.1307,10.03251,9.73072,9.65393,9.40487,9.34288,9.31646,9.39439,9.30584,9.41265,9.5138,10.5477,11.137,10.62376
Portugal,Current Health Expenditure (CHE) per Capita in US$,995.3421,1015.54956,1139.40295,1443.37793,1723.74402,1814.35449,1857.64526,2112.52881,2391.9812,2346.54199,2259.30371,2255.96924,1980.01868,2030.63013,2059.92651,1790.53406,1875.24219,1998.0647,2216.30664,2221.7312,2346.33081,2746.6875,2585.58228
Qatar,Current Health Expenditure (CHE) per Capita in US$,552.27423,597.93695,667.00244,1109.72571,1254.14209,1347.96057,1321.56274,1276.88184,1277.0824,1305.49036,1306.52551,1487.85217,1713.98035,2027.0144,2256.38867,2435.44507,2075.41919,1908.39661,1962.58374,2012.22571,1997.78821,1934.0802,
Qatar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.97258,2.31971,2.46044,3.50257,3.18312,2.563,2.28806,2.07008,1.63775,2.38356,1.87018,1.59996,1.74822,2.0762,2.42294,3.63581,3.54971,3.21237,2.96176,3.20279,3.81872,2.89367,
Republic of Korea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.85544,4.29694,4.01433,4.28309,4.26716,4.54809,4.8487,4.9549,5.246,5.65906,5.81981,5.91455,6.0325,6.1507,6.40432,6.58926,6.8705,7.04742,7.4912,8.1748,8.34977,9.33146,9.72048
Republic of Korea,Current Health Expenditure (CHE) per Capita in US$,475.02933,500.08017,531.89008,633.09393,708.57941,887.69562,1062.19836,1204.76379,1137.20911,1099.13916,1363.56091,1507.55664,1553.32825,1682.76392,1880.44202,1894.34753,2008.09827,2220.56421,2501.13965,2605.99341,2648.22412,3260.44873,3123.94702
Republic of Moldova,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.92687,6.2345,7.40438,7.02228,8.97115,9.55815,10.54445,11.02067,10.9492,13.67662,10.13113,9.0967,9.13962,8.683,8.63276,8.55764,7.53552,7.1278,6.7076,6.49676,7.00484,7.74904,
Republic of Moldova,Current Health Expenditure (CHE) per Capita in US$,21.37989,25.39859,33.92424,38.43837,64.60714,79.33213,100.10816,135.44366,185.56116,208.53004,198.28894,214.98247,223.61896,231.66229,230.76982,186.43643,171.18477,243.9454,276.47144,284.30637,306.64893,410.12299,
Romania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.20876,4.37598,4.57695,5.37137,5.47734,5.52778,5.07106,5.02223,5.02274,5.27841,5.63999,4.47528,4.509,5.22433,5.0279,4.94296,5.08021,5.18879,5.51801,5.71421,6.22618,6.479,
Romania,Current Health Expenditure (CHE) per Capita in US$,69.89346,78.81754,96.57699,143.54553,190.79506,254.52962,291.00409,415.0679,521.31561,449.37692,472.20752,426.59973,401.67105,495.23624,503.34753,442.24039,476.24506,555.1131,687.15411,738.55817,809.58881,963.01288,
Russian Federation,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.0199,5.24285,5.52167,5.16369,4.76038,4.77177,4.76654,4.74793,4.90364,5.64392,4.97112,4.79491,4.93638,5.08105,5.1821,5.29604,5.2897,5.3589,5.35521,5.64849,7.57118,7.3917,
Russian Federation,Current Health Expenditure (CHE) per Capita in US$,95.12621,117.78254,140.39339,164.26624,208.80147,271.64273,352.71082,461.98422,609.85077,516.44281,567.02625,684.27234,758.96588,809.14294,739.59076,499.14618,465.43033,579.98126,609.35095,653.99994,771.32477,935.73364,
